animal	sire	dam	born	sex	herd	status	cause	died	TBV	recessives
	1224658	1124497	1139401	14	M	152	A		-1	3634.68161535	[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]
	1252620	1125098	1040862	14	M	50	A		-1	3635.67180101	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1252283	1125098	1107439	14	M	39	A		-1	3636.39101184	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1208510	1123808	1108078	14	M	131	A		-1	3636.47150365	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	1221828	1124497	1129397	14	M	111	A		-1	3636.5546115	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1285831	1125445	1116886	14	M	142	A		-1	3636.61972524	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1256798	1125121	1105377	14	M	110	A		-1	3636.86375005	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1273181	1125306	1081760	14	M	3	A		-1	3637.00372545	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1251952	1125098	903335	14	M	61	A		-1	3637.65145143	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1158943	1030681	1053421	13	M	132	A		-1	3638.01653234	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1265366	1125131	1186277	14	M	13	A		-1	3638.0212087	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1224140	1124497	1180952	14	M	107	A		-1	3638.09228625	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1255668	1125121	1123559	14	M	42	A		-1	3638.17318375	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1284008	1125400	1169589	14	M	142	A		-1	3638.81429222	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1286639	1125445	1131210	14	M	141	A		-1	3638.89546187	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1222295	1124497	1146590	14	M	193	A		-1	3639.52016705	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1219969	1124497	1182982	14	M	47	A		-1	3639.52360145	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1254336	1125098	1134500	14	M	109	A		-1	3639.99251019	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1210922	1123998	1129027	14	M	162	A		-1	3640.07391014	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1197207	1194257	1194355	14	M	78	A		-1	3640.08155921	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1270521	1125306	1169609	14	M	53	A		-1	3640.56304341	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1286182	1125445	1118799	14	M	3	A		-1	3640.89794051	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1256027	1125121	1193276	14	M	79	A		-1	3641.0241742	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1238939	1125046	1183670	14	M	161	A		-1	3641.51832578	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1251547	1125098	1045964	14	M	55	A		-1	3641.65737156	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1203027	1125181	1123359	14	M	120	A		-1	3641.83897872	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1240378	1125069	1112030	14	M	39	A		-1	3642.05894956	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1205107	1123808	1141052	14	M	58	A		-1	3642.17744329	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1211595	1123998	1127442	14	M	184	A		-1	3642.48006112	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	1251912	1125098	1110353	14	M	29	A		-1	3642.6326738	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1251155	1125098	1102889	14	M	159	A		-1	3642.95303071	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1274620	1125306	1146914	14	M	72	A		-1	3643.06431453	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1234782	1125046	1145277	14	M	93	A		-1	3643.57270512	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1209874	1123998	998500	14	M	164	A		-1	3643.89351718	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1212697	1123998	1147527	14	M	193	A		-1	3644.16024949	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	1240133	1125069	1027350	14	M	72	A		-1	3644.16602251	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1255206	1125121	1107819	14	M	10	A		-1	3644.71717377	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1204546	1125181	1132330	14	M	92	A		-1	3645.05715329	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1283933	1125400	1168888	14	M	52	A		-1	3645.06699126	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1291458	1125473	1010245	14	M	173	A		-1	3645.35684805	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1280734	1125400	1166875	14	M	162	A		-1	3645.51079343	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1251288	1125098	1017132	14	M	90	A		-1	3646.53363105	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1250613	1125098	1035910	14	M	99	A		-1	3646.92256482	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1254440	1125098	1192911	14	M	29	A		-1	3647.92820844	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1235819	1125046	1178414	14	M	93	A		-1	3648.35866238	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1238767	1125046	1156164	14	M	40	A		-1	3648.76784683	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1216786	1124286	1030119	14	M	182	A		-1	3648.82210695	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1284722	1125400	1120065	14	M	198	A		-1	3649.05170739	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1270896	1125306	1178871	14	M	16	A		-1	3649.30063393	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1220299	1124497	1117380	14	M	102	A		-1	3649.34362181	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1266469	1125131	1119204	14	M	141	A		-1	3649.91833399	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1253279	1125098	1052175	14	M	43	A		-1	3650.77244015	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1257838	1125121	1060215	14	M	76	A		-1	3651.35327183	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1270738	1125306	1001342	14	M	64	A		-1	3651.56668285	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1283666	1125400	1083214	14	M	166	A		-1	3651.59470888	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
